427; 135; 4/1/17; 5/11/17; 0; 0; 0; 0.00; 0.00; 0.00;
428; 207; 4/1/17; 6/9/17; 1; 0; 0; 0.00; 0.00; 0.00;
433; 671; 4/1/17; 6/9/17; 1; 0; 0; 7369.31; 0.00; 0.00;
441; 52; 4/1/17; 6/9/17; 1; 1; 0; 24063.16; 260.15; 0.00;
444; 234; 4/1/17; 6/9/17; 1; 0; 0; 9096.04; 0.00; 0.00;
82; 567; 4/20/17; 6/9/17; 1; 0; 1; 0.00; 0.00; 0.00;
87; 207; 4/1/17; 6/9/17; 0; 0; 0; 0.00; 0.00; 0.00;
452; 234; 4/1/17; 5/20/17; 1; 0; 0; 195.21; 0.00; 0.00;
460; 207; 4/1/17; 6/9/17; 1; 0; 0; 0.00; 0.00; 0.00;
470; 135; 4/1/17; 4/3/17; 1; 0; 1; 0.00; 0.00; 149.91;
471; 135; 4/1/17; 4/3/17; 1; 0; 1; 6572.08; 0.00; 0.00;
475; 52; 4/1/17; 6/9/17; 1; 1; 1; 18969.16; 1022.79; 0.00;
481; 671; 4/1/17; 6/9/17; 1; 0; 0; 2882.09; 0.00; 0.00;
489; 207; 4/1/17; 6/9/17; 1; 0; 0; 0.00; 0.00; 0.00;
490; 207; 4/1/17; 6/9/17; 1; 0; 0; 229.51; 0.00; 0.00;
494; 267; 4/1/17; 6/9/17; 1; 0; 0; 693.65; 0.00; 0.00;
495; 207; 4/1/17; 6/9/17; 1; 0; 0; 0.00; 0.00; 0.00;
501; 222; 4/1/17; 6/9/17; 1; 0; 0; 636.77; 0.00; 0.00;
503; 52; 4/1/17; 6/9/17; 1; 0; 1; 55986.28; 0.00; 0.00;
505; 267; 4/1/17; 6/9/17; 1; 0; 1; 18149.19; 0.00; 0.00;
512; 222; 4/1/17; 6/9/17; 1; 0; 0; 5074.51; 0.00; 0.00;
513; 52; 4/1/17; 6/9/17; 1; 0; 0; 65473.55; 0.00; 0.00;
513; 52; 4/1/17; 6/9/17; 1; 0; 0; 65473.55; 0.00; 0.00;
514; 207; 4/1/17; 6/9/17; 1; 0; 0; 0.00; 0.00; 0.00;
515; 439; 4/1/17; 6/9/17; 1; 0; 1; 2053.34; 0.00; 287.95;
519; 207; 4/1/17; 6/9/17; 1; 0; 0; 39453.38; 0.00; 0.00;
520; 267; 4/1/17; 6/9/17; 1; 0; 0; 27586.56; 0.00; 0.00;
521; 439; 4/1/17; 6/9/17; 1; 0; 1; 0.00; 0.00; 320.80;
522; 267; 4/1/17; 6/9/17; 1; 0; 1; 14720.70; 0.00; 1653.51;
528; 222; 4/1/17; 6/9/17; 1; 0; 0; 51266.83; 0.00; 0.00;
530; 135; 4/1/17; 5/3/17; 1; 0; 0; 3712.06; 0.00; 0.00;
531; 207; 4/1/17; 6/9/17; 1; 0; 0; 459.01; 0.00; 0.00;
532; 267; 4/1/17; 5/17/17; 0; 0; 1; 0.00; 0.00; 659.05;
533; 207; 4/1/17; 6/9/17; 1; 0; 0; 0.00; 0.00; 0.00;
535; 267; 4/1/17; 6/9/17; 1; 0; 0; 1377.73; 0.00; 0.00;
537; 135; 4/1/17; 5/3/17; 1; 0; 0; 0.00; 0.00; 0.00;
541; 671; 4/1/17; 6/9/17; 0; 0; 0; 0.00; 0.00; 0.00;
543; 64; 4/1/17; 6/9/17; 1; 0; 0; 459.32; 0.00; 0.00;
546; 671; 4/1/17; 6/9/17; 1; 0; 1; 1761.33; 0.00; 957.91;
549; 207; 4/1/17; 6/9/17; 1; 0; 0; 390.16; 0.00; 0.00;
554; 207; 4/1/17; 6/9/17; 0; 0; 0; 0.00; 0.00; 0.00;
566; 439; 4/1/17; 4/3/17; 1; 0; 1; 0.00; 0.00; 166.24;
575; 64; 4/1/17; 6/9/17; 0; 0; 0; 0.00; 0.00; 0.00;
578; 267; 4/1/17; 6/9/17; 1; 1; 0; 459.32; 260.15; 0.00;
588; 439; 4/1/17; 6/9/17; 1; 0; 0; 288.65; 0.00; 0.00;
592; 671; 4/1/17; 6/9/17; 1; 0; 0; 5141.98; 0.00; 0.00;
593; 20; 4/1/17; 6/9/17; 1; 0; 1; 592.71; 0.00; 156.99;
598; 671; 4/1/17; 6/9/17; 1; 0; 1; 4542.37; 0.00; 196.89;
601; 222; 4/1/17; 4/3/17; 0; 0; 1; 0.00; 0.00; 99.90;
603; 135; 4/1/17; 4/11/17; 1; 0; 0; 2465.01; 0.00; 0.00;
609; 207; 4/1/17; 6/9/17; 1; 0; 0; 0.00; 0.00; 0.00;
614; 207; 4/1/17; 6/9/17; 1; 0; 0; 195.08; 0.00; 0.00;
618; 207; 4/1/17; 6/9/17; 1; 0; 0; 0.00; 0.00; 0.00;
620; 207; 4/1/17; 6/9/17; 1; 0; 0; 43585.11; 0.00; 0.00;
623; 439; 4/1/17; 6/9/17; 1; 0; 1; 5164.65; 0.00; 649.70;
626; 267; 4/1/17; 6/9/17; 1; 0; 0; 3976.78; 0.00; 0.00;
631; 207; 4/1/17; 6/9/17; 1; 0; 0; 0.00; 0.00; 0.00;
635; 207; 4/1/17; 6/9/17; 1; 0; 0; 0.00; 0.00; 0.00;
637; 671; 4/1/17; 4/3/17; 1; 0; 0; 27308.43; 0.00; 0.00;
642; 135; 4/1/17; 5/3/17; 1; 0; 0; 8255.62; 0.00; 0.00;
644; 135; 4/1/17; 5/19/17; 1; 0; 1; 5593.58; 0.00; 535.53;
660; 267; 4/1/17; 6/9/17; 1; 0; 0; 22948.02; 0.00; 0.00;
661; 135; 4/1/17; 5/11/17; 0; 0; 0; 0.00; 0.00; 0.00;
665; 135; 4/1/17; 5/3/17; 0; 1; 1; 0.00; 260.15; 637.86;
670; 207; 4/1/17; 6/9/17; 1; 0; 0; 44458.28; 0.00; 0.00;
671; 439; 4/1/17; 4/3/17; 1; 0; 0; 7924.71; 0.00; 0.00;
672; 671; 4/1/17; 6/9/17; 1; 0; 0; 3509.91; 0.00; 0.00;
674; 671; 4/1/17; 4/3/17; 1; 0; 0; 0.00; 0.00; 0.00;
675; 207; 4/1/17; 6/9/17; 1; 0; 0; 0.00; 0.00; 0.00;
676; 439; 4/1/17; 6/9/17; 1; 0; 0; 804.50; 0.00; 0.00;
685; 207; 4/1/17; 6/9/17; 0; 0; 0; 0.00; 0.00; 0.00;
686; 671; 4/1/17; 6/9/17; 1; 0; 0; 8589.89; 0.00; 0.00;
690; 135; 4/1/17; 5/3/17; 1; 0; 1; 11883.46; 0.00; 0.00;
697; 207; 4/1/17; 6/9/17; 1; 0; 0; 0.00; 0.00; 0.00;
699; 52; 4/1/17; 6/9/17; 1; 0; 0; 32176.87; 0.00; 0.00;
